Participant,Q21_13,Q21_14_TEXT_13,Q23_13,Q23_TEXT_13,Q22 _13,Date_14,Attendance_14,Q1_14,Q2_14,Q3_14,Q4_14,Q5_14,Q6_14,Q7_14,Q8_14,Q9_14,Q10_14,Q11_14,Q12_14,Q13_14,Q14_14,Q14_1_TEXT_14,,,Q21_14,Q21_14_TEXT_14,Q23_14,Q23_TEXT_14,Q22 _14,Date_15,Attendance_15,Q1_15,Q2_15,Q3_15,Q4_15,Q5_15,Q6_15,Q7_15,Q8_15,Q9_15,Q10_15,Q11_15,Q12_15,Q13_15,Q14_15,Q14_1_TEXT_15,,,Q21_15,Q21_14_TEXT_15,Q23_15,Q23_TEXT_15,Q22 _15,Date_16,Attendance_16,Q1_16,Q2_16,Q3_16,Q4_16,Q5_16,Q6_16,Q7_16,Q8_16,Q9_16,Q10_16,Q11_16,Q12_16,Q13_16,Q14_16,Q14_1_TEXT_16,,,Q21_16,Q21_14_TEXT_16,Q23_16,Q23_TEXT_16,Q22 _16,Date_17,Attendance_17,Q1_17,Q2_17,Q3_17,Q4_17,Q5_17,Q6_17,Q7_17,Q8_17,Q9_17,Q10_17,Q11_17,Q12_17,Q13_17,Q14_17,Q14_1_TEXT_17,,,Q21_17,Q21_14_TEXT_17,Q23_17,Q23_TEXT_17,Q22 _17,Date_18,Attendance_18,Q1_18,Q2_18,Q3_18,Q4_18,Q5_18,Q6_18,Q7_18,Q8_18,Q9_18,Q10_18,Q11_18,Q12_18,Q13_18,Q14_18,Q14_1_TEXT_18,,,Q21_18,Q21_14_TEXT_18,Q23_18,Q23_TEXT_18,Q22 _18,Date_19,Attendance_19,Q1_19,Q2_19,Q3_19,Q4_19,Q5_19,Q6_19,Q7_19,Q8_19,Q9_19,Q10_19,Q11_19,Q12_19,Q13_19,Q14_19,Q14_1_TEXT_19,,,Q21_19,Q21_14_TEXT_19,Q23_19,Q23_TEXT_19,Q22 _19,Date_20,Attendance_20,Q1_20,Q2_20,Q3_20,Q4_20,Q5_20,Q6_20,Q7_20,Q8_20,Q9_20,Q10_20,Q11_20,Q12_20,Q13_20,Q14_20,Q14_1_TEXT_20,,,Q21_20,Q21_14_TEXT_20,Q23_20,Q23_TEXT_20,Q22 _20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,14,-,2,half day of school,-,03-20-2023,1,2,-,2,2,1,9,-,2,1,2,2,4,2,-,-,,,-,-,-,-,-,03-22-2023,1,2,2,2,2,1,9,-,2,1,2,2,4,2,-,-,,,-,-,-,-,-,03-23-2023,1,2,2,2,2,1,9,-,2,1,2,2,5,2,-,-,,,-,-,-,-,-,03-24-2023,4,2,1,2,2,1,9,1,2,1,2,2,-,2,-,-,,,2,-,2,-,-,03-27-2023,4,-,-,1,2,1,12,4,1,2,1,-,-,-,-,-,,,2,-,2,-,-,03-28-2023,4,-,-,2,2,1,11,4,2,1,2,-,-,-,-,--,,,2,-,2,-,-,03-29-2023,4,-,-,2,2,1,10,-,2,1,2,-,-,-,-,-,,,2,-,2,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2,-,2,-,-,03-06-2023,2,2,2,2,1,1,8,-,2,1,2,2,4,2,-,-,,,8,-,2,,had to take his brother to an early am appt and didn't have anyone to take j to school so he came to the appt too. ,03-07-2023,1,2,1,2,2,1,9,3,2,1,1,1,3,2,-,-,,,-,-,-,-,-,03-08-2023,1,2,2,2,1,1,9,-,2,1,1,1,3,2,-,-,,,-,-,-,-,-,03-13-2023,1,2,2,2,2,1,8,4,2,1,2,2,4,2,-,-,,,-,-,-,-,-,03-14-2023,1,2,2,2,2,1,9,4,2,1,1,1,3,2,-,-,,,-,-,-,-,-,03-15-2023,1,2,2,2,1,1,9,3,2,1,2,2,5,2,-,-,,,-,-,-,-,-,03-16-2023,1,2,2,2,1,1,9,-,2,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2,-,2,-,-,04-11-2023,1,2,2,2,1,1,10,"1,4",1,1,1,1,2,2,-,-,,,-,-,-,-,-,04-13-2023,3,2,1,2,1,1,10,4,1,1,1,1,2,2,-,-,,,9,-,,-,-,04-17-2023,3,2,2,2,1,1,12,"1,4",1,1,2,1,3,2,-,-,,,3,-,-,,-,04-18-2023,1,1,2,2,1,1,10,"1,4",1,1,1,1,3,2,-,-,,,-,-,-,-,-,04-26-2023,2,2,2,2,1,1,-,1,1,1,2,1,2,2,-,-,,,3,-,,-,-,04-25-2023,1,2,1,2,1,1,-,"1,4",1,1,1,1,3,2,-,-,,,-,-,-,-,-,04-24-2023,1,2,2,2,1,1,-,"1,4",1,1,1,2,3,2,-,-,,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,-,-,-,-,-,03-10-2023,1,2,2,2,2,1,8,2,2,1,2,2,6,2,-,-,,,-,-,-,-,-,03-13-2023,1,2,2,1,2,1,8,-,1,1,2,2,5,2,-,-,,,-,-,-,-,-,03-14-2023,1,2,2,2,2,1,8,4,2,1,2,2,6,2,-,-,,,-,-,-,-,-,03-15-2023,1,2,2,1,1,1,8,4,2,1,1,2,5,2,-,-,,,-,-,-,-,-,03-16-2023,1,2,2,2,2,1,8,2,2,1,2,2,6,2,-,-,,,-,-,-,-,-,03-17-2023,1,2,2,2,1,1,8,3,2,1,2,2,6,2,-,-,,,-,-,-,-,-,03-20-2023,1,2,2,2,1,1,8,-,2,1,2,2,4,2,-,-,,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,-,-,-,-,-,03-20-2023,1,2,2,2,2,1,8,4,2,2,2,2,3,2,-,-,,,-,-,-,-,-,03-21-2023,1,2,1,1,2,1,8,4,2,2,2,2,3,2,-,-,,,-,-,-,-,-,03-22-2023,1,2,2,2,2,2,8,4,2,2,2,2,1,2,-,-,,,-,-,-,-,-,03-23-23,1,2,2,2,2,2,3,"1,4",1,1,1,1,`,1,-,-,,,-,-,-,-,-,03-24-2023,1,2,2,2,2,2,13,4,1,2,2,2,2,2,-,-,,,-,-,-,--,-,03-27-2023,1,2,2,2,2,2,8,4,2,2,2,2,1,2,-,-,,,-,-,-,-,-,03-28-2023,1,2,2,2,2,2,4,"1,4",2,2,2,2,1,2,-,-,,,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,04-04-2023,1,1,2,2,1,,9.5,3,1,2,1,2,4,2,,,,,,,,,,04-05-2023,1,1,2,2,1,1,9.5,3,2,1,1,1,3,1,2,,He was growling because of a school concert,,,,,,,04-06-2023,1,1,1,1,1,1,9,3,2,1,1,1,3,2,,,,,,,,,,04-17-2023,1,2,1,2,1,1,8,3,1,2,2,2,4,2,,,,,,,,,,04-18-2023,1,2,2,2,2,1,8,3,2,1,2,2,5,2,,,,,,,,,,04-19-2023,1,1,2,2,1,1,9,2,2,1,2,2,4,2,,,,,,,,,,04-20-2023,1,1,2,2,1,1,11,3,2,1,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,04-26-2023,1,2,2,2,1,1,8,1,1,2,2,1,3,2,,,,,,,,,,04-27-2023,3,2,2,2,1,1,10,,2,2,2,2,4,2,,,,,1,,2,,,04-28-2023,1,2,2,2,1,1,10,,2,1,2,2,4,2,,,,,,,,,,05-01-2023,1,2,2,2,1,1,10,,2,1,2,2,4,2,,,,,,,,,,05-02-2023,1,2,2,2,1,1,10.5,,2,2,2,2,4,2,,,,,,,,,,05-03-2023,1,2,2,2,2,1,9,,1,1,2,2,4,2,,,,,,,,,,05-04-2023,1,2,2,2,2,1,9,,2,2,2,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,05-03-2023,1,2,2,2,1,1,8,1,2,1,2,2,5,1,1,Because he was tired,,,,,,,,05-04-2023,1,2,2,2,1,1,8,1,2,1,2,2,5,1,1,He was tired,,,,,,,,05-05-2023,1,2,2,,,,,,,1,,,,,,,,,,,,,,05-08-2023,1,,,2,1,1,8,,1,1,2,2,6,2,,,,,,,,,,05-09-2023,4,1,1,2,2,1,,,,,,,,,,,,,2,,2,,Diagnosed last evening with strep,05-10-2023,1,,,,,,,,,1,,,,,,,,,,,,,,05-11-2023,4,2,2,2,1,1,8,4,2,1,2,1,3,1,1,He was tired,,,5,,2,,He’s still being treated for strep so I’m okay giving him a day off to get more rest since he said he was tired.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,05-15-2023,2,1,1,1,1,1,9.5,"2,4",2,1,2,2,4,2,,,,,3,,2,,"We were doing SUPER well this morning, she got ab upset belly and was in the bathroom awhile (not refusing- upset belly) which got us to school on later side of normal which caused preferred adult to no longer be available when we did arrive (IEP meeting)",05-16-2023,2,2,1,2,1,1,8,1,1,1,1,1,3,1,2,,said she didn't want to go didn't ask directly (to avoid escalation) but lots of questions about school safety/possible shooter/,,3,,2,,"lots of difficulty transitioning out of car - at school by the bell but delayed transitioning inside, 2nd most (not most) preferred adult at dropoff",05-17-2023,1,2,1,2,2,1,8.5,"2,4",2,1,2,2,4,2,,,,,,,,,,05-18-2023,4,2,1,2,1,1,9,,2,2,1,1,1,1,1,"""why can't I stay with you"" (grandpa)",,,12,,2,,"SEE EMAIL 5/18 medical appointment in morning. late arrival, very dysregulated. spent some time (11 min) at school with social worker, sent home for behavioral problems (""I think you need to come get her"")",05-19-2023,2,1,2,2,2,1,6,"1,4",1,1,2,1,2,1,1,"She said she was just really tired and wanted to sleep. More of a grumbling vs outright angry or defiant ""I'm not going"" type behavior.",,,3,,2,,Very slightly tardy today. We were AT school but still trying to transition out of the car when bell rang. Preferred adult was back today. Thankfully!!!,05-22-2023,4,1,1,1,2,2,10,2,2,2,2,2,,,,,,,2,,2,,"Confirmed strep throat, not yet fever free 24 hours without meds",05-25-2023,2,2,2,2,2,1,10,4,2,1,1,1,3,1,1,I just don't feel good. I can't go from no school to 8 hours [ie: hasn't been in days to full day],,,,,2,,Prearranged with principal (last night) to come after 9am due to a meeting she was pulled into (&this morning was NOT the day to change the routine after being out several days and doesn't want to go in the first place!!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
